IMDB_ID,AMPERE_TITLE,COUNTRY,PLATFORM,PLATFORM_TYPE,ORIGINAL_FLAG,ORIGINAL_PLATFORM,PARENT_DISTRIBUTOR,MONTH_YEAR
tt4627382,Roofman,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt6341826,In the Blink of an Eye,Brazil,Disney+,svod,Hulu Exclusive,Hulu,Independent / Other,2026-06-01
tt12887208,Pippa,Argentina,Amazon Prime Video,svod,Amazon Exclusive,Amazon,Independent / Other,2026-06-01
tt31189901,The Truth Vs. Alex Jones,Ecuador,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt33039440,The Wrong Paris,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt18315204,Phenomena,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt14856980,Atlas,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt22297828,Chor Nikal Ke Bhaga,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt14124080,The Great Escaper,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt12735488,Kalki 2898-AD,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt11210390,Astérix et Obélix : L'Empire du Milieu,Peru,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt0327785,The Killer's Game,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt17279496,Civil War,Argentina,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt20420628,Freud's Last Session,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt28073548,Love is in the Air,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt19356262,Drive-Away Dolls,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt15380608,Bagheera,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt7985704,Operation Fortune: Ruse De Guerre,Mexico,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt13130948,Shehzada,Argentina,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt14935892,Maboroshi,Peru,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt24068064,Reality,Mexico,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt13130024,Simulant,Chile,HBO Max,svod,HBO Max Exclusive,HBO Max,Independent / Other,2026-06-01
tt38693888,Youth,Mexico,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt15744298,Freelance,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt9214772,Monkey Man,Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt15426740,KSI: In Real Life,Peru,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt19811010,The Remarkable Life of Ibelin,Argentina,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt40891145,180,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt36616410,Eko,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt24060892,They Call Him Og,Argentina,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt15140278,Coup De Chance,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt26569323,The Mill,Mexico,Disney+,svod,Hulu Original,Hulu,Independent / Other,2026-06-01
tt34611082,Ladies First,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt19175696,Sister Death,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt31039829,18×2 Beyond Youthful Days,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt37531036,Belén,Peru,Amazon Other,svod,Not An Original,,Independent / Other,2026-06-01
tt23849204,12th Fail,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt31410930,You Are Not Alone: Fighting the Wolf Pack,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt31727191,Preparation for the Next Life,Brazil,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt27911000,Terrifier 3,Mexico,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt31314296,The Woman in the Yard,Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt35396529,Mountainhead,Ecuador,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt32944883,Don't Let's Go to the Dogs Tonight,Mexico,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt6495056,Migration,Mexico,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt36856306,Trainwreck: Mayor of Mayhem,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt27812086,Cleaner,Chile,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt16431404,Apex,Colombia,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt36118360,Tu Yaa Main,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt39049192,Even if This Love Disappears from the World Tonight,Argentina,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt30515931,Mission: Cross,Brazil,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt27552099,Mike & Nick & Nick & Alice,Chile,Disney+,svod,Hulu Original,Hulu,Independent / Other,2026-06-01
tt16304446,Fair Play,Brazil,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt16304446,Fair Play,Colombia,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt30955489,Until Dawn,Brazil,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt5433140,Fast X,Mexico,Claro Video,svod,Not An Original,,NBCUniversal,2026-06-01
tt5672290,The First Omen,Brazil,Disney+,svod,Not An Original,,Disney,2026-06-01
tt19890316,What Happens Later,Mexico,Plex,avod,Not An Original,,Independent / Other,2026-06-01
tt20502488,Meet Me Next Christmas,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt31102181,The Parades,Ecuador,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt10855768,Missing,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt27403986,Juror #2,Colombia,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt31189315,Father Mother Sister Brother,Brazil,MUBI,svod,Not An Original,,Independent / Other,2026-06-01
tt27487934,The Greatest of All Time,Colombia,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt8080204,Hypnotic,Mexico,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt26229554,"Bono & the Edge: a Sort of Homecoming, With Dave Letterman",Chile,Disney+,svod,Disney+ Original,Disney+,Disney,2026-06-01
tt33540966,Hijack '93,Chile,Netflix,svod,Netflix Original,Netflix,Independent / Other,2026-06-01
tt21905744,The Front Room,Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt38872297,Cosmic Princess Kaguya!,Argentina,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt33797166,Aida: The Movie,Peru,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt9150192,A Working Man,Mexico,Amazon Prime Video,svod,Not An Original,,Warner Bros. Discovery,2026-06-01
tt39307872,One Last Adventure: The Making of Stranger Things 5,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt24973142,All India Rank,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt10172266,"Red, White & Royal Blue",Brazil,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt13131610,Bhola Shankar,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt7737800,Woman of the Hour,Brazil,HBO Max,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt31592660,Sumala,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt10370812,The Settlers,Chile,MUBI,svod,Not An Original,,Independent / Other,2026-06-01
tt34888871,Little Brother,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt32434379,My Fault: London,Chile,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt14961016,I'm Still Here,Brazil,Globoplay,svod,Not An Original,,Sony,2026-06-01
tt10151854,Shazam! Fury of the Gods,Brazil,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt26547864,The Conference,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt19864942,Ae Watan Mere Watan,Ecuador,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt11908172,The Kill Room,Argentina,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt29195603,Family Pack,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt28082769,September 5,Mexico,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt3155298,Luther: The Fallen Sun,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt23052532,Mark Antony,Chile,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt29383300,An Honest Life,Ecuador,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt41367695,Propeller: One-Way Night Coach,Ecuador,Apple TV,svod,Apple TV Exclusive,Apple TV,Independent / Other,2026-06-01
tt39049192,Even if This Love Disappears from the World Tonight,Peru,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt11724920,Dead Sea,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt16227342,Mr. & Mrs. Mahi,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt26160190,Unlocked,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt16431404,Apex,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt11315808,Joker: Folie À Deux,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt6968614,The Mother,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt32743167,Carved,Argentina,Disney+,svod,Hulu Original,Hulu,Independent / Other,2026-06-01
tt18274520,Noviembre,Argentina,Amazon Other,svod,Not An Original,,Independent / Other,2026-06-01
tt16425284,Mixed by Erry,Ecuador,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt27876411,Mr. Car and the Knights Templar,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt35048826,Broke,Brazil,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt24176060,Queer,Mexico,MUBI,svod,Not An Original,,Independent / Other,2026-06-01
tt1517268,Barbie,Brazil,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt15428940,Jules,Mexico,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt36118360,Tu Yaa Main,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt42192165,The Murder of Rachel Nickell,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt32430579,Crime 101,Mexico,Amazon Prime Video,svod,Not An Original,,Amazon,2026-06-01
tt27136041,Champion,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt28810493,The Devil on Trial,Ecuador,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt17007120,The Beanie Bubble,Mexico,Tubi,avod,Apple TV Original,Apple TV,Independent / Other,2026-06-01
tt15380608,Bagheera,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt15314262,The Beekeeper,Colombia,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt31254554,Wonderland,Mexico,Netflix,svod,Netflix Exclusive,Netflix,Netflix,2026-06-01
tt29613587,Mast Mein Rehne Ka,Colombia,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt20414642,A Day and a Half,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt32549601,Caramelo,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt20112600,Race for Glory: Audi Vs. Lancia,Brazil,Globoplay,svod,Not An Original,,Independent / Other,2026-06-01
tt18413766,Kathal - a Jackfruit Mystery,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt28687398,Rosa Peral's Tapes,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt14257662,"Moviepass, Moviecrash",Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt17526714,The Substance,Argentina,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt13654226,The Gorge,Peru,Apple TV,svod,Apple TV Original,Apple TV,Independent / Other,2026-06-01
tt12672620,Les trois mousquetaires: Milady,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt0439572,The Flash,Ecuador,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt31788773,My Oni Girl,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt35628532,Air Force Elite: Thunderbirds,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt39130911,Sonunda Sen,Mexico,Netflix,svod,Netflix Original,Netflix,Independent / Other,2026-06-01
tt21257152,Love in Focus,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt27549543,The Saint of Second Chances,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt31495504,The Tank,Ecuador,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt27197387,AKA,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt14948432,Red One,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt26733317,Jigra,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt39131664,Kumail Nanjiani: Night Thoughts,Mexico,Disney+,svod,Hulu Original,Hulu,Independent / Other,2026-06-01
tt31121295,Deep Cover,Peru,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt18787516,Judy Blume Forever,Ecuador,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt11068094,White Bird,Chile,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt1200263,The Color Purple,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt18259086,Sonic the Hedgehog 3,Peru,Paramount+,svod,Not An Original,,Independent / Other,2026-06-01
tt18353064,Chokehold,Ecuador,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt3864060,Unstoppable,Argentina,Amazon Prime Video,svod,Amazon Original,Amazon,Independent / Other,2026-06-01
tt23018924,Thangalaan,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt35219851,My Secret Santa,Ecuador,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt12672536,The Three Musketeers - Part I: D'Artagnan,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt13818368,Fighter,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt26731216,The Forge,Mexico,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt19847976,Wicked: For Good,Mexico,HBO Max,svod,Not An Original,,NBCUniversal,2026-06-01
tt28306747,Head to Head,Brazil,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt28129054,Take Cover,Peru,Paramount+,svod,Not An Original,,Independent / Other,2026-06-01
tt39465484,Eat Pray Bark,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt12037194,Furiosa: a Mad Max Saga,Colombia,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt2353868,True Spirit,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt19623240,Winnie the Pooh: Blood and Honey,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt14057604,King of Killers,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt18072316,Bade Miyan Chote Miyan,Chile,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt13073252,O Sequestro do Voo 375,Chile,Disney+,svod,Not An Original,,Independent / Other,2026-06-01
tt10078772,Flight Risk,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt6587046,The Boy and the Heron,Mexico,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt1661236,The Movie Teller,Colombia,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt19847976,Wicked: For Good,Ecuador,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt15732324,Omg 2,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt30982333,Traces of Love,Argentina,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt26234970,Gandeevadhari Arjuna,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt36856538,Trainwreck: P.I. Moms,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt21257152,Love in Focus,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt34762360,10 Dance,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt20115766,Knox Goes Away,Ecuador,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt21819258,Bonus Track,Chile,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt15009428,Argylle,Mexico,Apple TV,svod,Apple TV Exclusive,Apple TV,NBCUniversal,2026-06-01
tt21096576,One Fast Move,Ecuador,Amazon Other,svod,Not An Original,,Independent / Other,2026-06-01
tt31193771,Sally,Mexico,Disney+,svod,Not An Original,,Independent / Other,2026-06-01
tt28494829,Officer Black Belt,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt30876483,Exterritorial,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt33053440,Champagne Problems,Colombia,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt1001520,The Last Voyage of the Demeter,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt32572716,The Truth and Tragedy of Moriah Wilson,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt32642706,The Rip,Peru,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt27080643,Asvins,Brazil,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt1340094,The Crow,Brazil,Globoplay,svod,Not An Original,,Independent / Other,2026-06-01
tt23052532,Mark Antony,Brazil,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt1695843,Haunted Mansion,Brazil,Disney+,svod,Not An Original,,Independent / Other,2026-06-01
tt21819994,Christopher,Ecuador,Amazon Prime Video,svod,Not An Original,,Independent / Other,2026-06-01
tt13405778,Insidious: the Red Door,Ecuador,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt27837387,Unknown: The Lost Pyramid,Chile,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt13885428,Anweshippin Kandethum,Mexico,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt27540542,Lucky Baskhar,Peru,Netflix,svod,Not An Original,,Independent / Other,2026-06-01
tt32155665,53 Sundays,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt14013772,Elevator Game,Colombia,Amazon Prime Video,svod,Shudder Exclusive,Shudder,Independent / Other,2026-06-01
tt8080204,Hypnotic,Ecuador,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt10548174,28 Years Later,Mexico,HBO Max,svod,Not An Original,,Sony,2026-06-01
tt28083456,Is This Thing On?,Argentina,Disney+,svod,Not An Original,,Independent / Other,2026-06-01
tt11331792,"Great Photo, Lovely Life",Peru,HBO Max,svod,Not An Original,,Independent / Other,2026-06-01
tt32276246,The Curse of the Necklace,Chile,HBO Max,svod,Tubi Original,Tubi,Independent / Other,2026-06-01
tt15574124,Peaky Blinders: The Immortal Man,Mexico,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
tt24079788,Victim/suspect,Argentina,Netflix,svod,Netflix Original,Netflix,Netflix,2026-06-01
